,Key,Chord,Note1,Note2,Note3,Note4
0,CMajor,I,C,E,G,-
1,CMajor,I7,C,E,G,B
2,CMajor,bII,C#,F,G#,-
3,CMajor,II,D,F,A,-
4,CMajor,II7,D,F,A,C
5,CMajor,III,E,G,B,-
6,CMajor,III7,E,G,B,D
7,CMajor,IV,F,A,C,-
8,CMajor,IV7,F,A,C,E
9,CMajor,V,G,B,D,-
10,CMajor,V7,G,B,D,F
11,CMajor,bVI,G#,C,D#,-
12,CMajor,GerVI,G#,C,D#,F#
13,CMajor,FreVI,G#,C,D,F#
14,CMajor,ItaVI,G#,C,F#,-
15,CMajor,VI,A,C,E,-
16,CMajor,VI7,A,C,E,G
17,CMajor,VII,B,D,F,-
18,CMajor,VII7,B,D,F,A
19,CMajor,DimVII,B,D,F,-
20,GMajor,I,G,B,D,-
21,GMajor,I7,G,B,D,F#
22,GMajor,bII,G#,C,D#,-
23,GMajor,II,A,C,E,-
24,GMajor,II7,A,C,E,G
25,GMajor,III,B,D,F#,-
26,GMajor,III7,B,D,F#,A
27,GMajor,IV,C,E,G,-
28,GMajor,IV7,C,E,G,B
29,GMajor,V,D,F#,A,-
30,GMajor,V7,D,F#,A,C
31,GMajor,bVI,D#,G,A#,-
32,GMajor,GerVI,D#,G,A#,C#
33,GMajor,FreVI,D#,G,A,C#
34,GMajor,ItaVI,D#,G,C#,-
35,GMajor,VI,E,G,B,-
36,GMajor,VI7,E,G,B,D
37,GMajor,VII,F#,A,C,-
38,GMajor,VII7,F#,A,C,E
39,GMajor,DimVII,F#,A,C,-
40,DMajor,I,D,F#,A,-
41,DMajor,I7,D,F#,A,C#
42,DMajor,bII,D#,G,A#,-
43,DMajor,II,E,G,B,-
44,DMajor,II7,E,G,B,D
45,DMajor,III,F#,A,C#,-
46,DMajor,III7,F#,A,C#,E
47,DMajor,IV,G,B,D,-
48,DMajor,IV7,G,B,D,F#
49,DMajor,V,A,C#,E,-
50,DMajor,V7,A,C#,E,G
51,DMajor,bVI,A#,D,F,-
52,DMajor,GerVI,A#,D,F,G#
53,DMajor,FreVI,A#,D,E,G#
54,DMajor,ItaVI,A#,D,G#,-
55,DMajor,VI,B,D,F#,-
56,DMajor,VI7,B,D,F#,A
57,DMajor,VII,C#,E,G,-
58,DMajor,VII7,C#,E,G,B
59,DMajor,DimVII,C#,E,G,-
60,AMajor,I,A,C#,E,-
61,AMajor,I7,A,C#,E,G#
62,AMajor,bII,A#,D,F,-
63,AMajor,II,B,D,F#,-
64,AMajor,II7,B,D,F#,A
65,AMajor,III,C#,E,G#,-
66,AMajor,III7,C#,E,G#,B
67,AMajor,IV,D,F#,A,-
68,AMajor,IV7,D,F#,A,C#
69,AMajor,V,E,G#,B,-
70,AMajor,V7,E,G#,B,D
71,AMajor,bVI,F,A,C,-
72,AMajor,GerVI,F,A,C,D#
73,AMajor,FreVI,F,A,B,D#
74,AMajor,ItaVI,F,A,D#,-
75,AMajor,VI,F#,A,C#,-
76,AMajor,VI7,F#,A,C#,E
77,AMajor,VII,G#,B,D,-
78,AMajor,VII7,G#,B,D,F#
79,AMajor,DimVII,G#,B,D,-
80,EMajor,I,E,G#,B,-
81,EMajor,I7,E,G#,B,D#
82,EMajor,bII,F,A,C,-
83,EMajor,II,F#,A,C#,-
84,EMajor,II7,F#,A,C#,E
85,EMajor,III,G#,B,D#,-
86,EMajor,III7,G#,B,D#,F#
87,EMajor,IV,A,C#,E,-
88,EMajor,IV7,A,C#,E,G#
89,EMajor,V,B,D#,F#,-
90,EMajor,V7,B,D#,F#,A
91,EMajor,bVI,C,E,G,-
92,EMajor,GerVI,C,E,G,A#
93,EMajor,FreVI,C,E,F#,A#
94,EMajor,ItaVI,C,E,A#,-
95,EMajor,VI,C#,E,G#,-
96,EMajor,VI7,C#,E,G#,B
97,EMajor,VII,D#,F#,A,-
98,EMajor,VII7,D#,F#,A,C#
99,EMajor,DimVII,D#,F#,A,-
100,BMajor,I,B,D#,F#,-
101,BMajor,I7,B,D#,F#,A#
102,BMajor,bII,C,E,G,-
103,BMajor,II,C#,E,G#,-
104,BMajor,II7,C#,E,G#,B
105,BMajor,III,D#,F#,A#,-
106,BMajor,III7,D#,F#,A#,C#
107,BMajor,IV,E,G#,B,-
108,BMajor,IV7,E,G#,B,D#
109,BMajor,V,F#,A#,C#,-
110,BMajor,V7,F#,A#,C#,E
111,BMajor,bVI,G,B,D,-
112,BMajor,GerVI,G,B,D,F
113,BMajor,FreVI,G,B,C#,F
114,BMajor,ItaVI,G,B,F,-
115,BMajor,VI,G#,B,D#,-
116,BMajor,VI7,G#,B,D#,F#
117,BMajor,VII,A#,C#,E,-
118,BMajor,VII7,A#,C#,E,G#
119,BMajor,DimVII,A#,C#,E,-
120,FMajor,I,F,A,C,-
121,FMajor,I7,F,A,C,E
122,FMajor,bII,Gb,Bb,Db,-
123,FMajor,II,G,Bb,D,-
