,Key,Chord,Note1,Note2,Note3,Note4
0,CMajor,I,C,E,G,-
1,CMajor,bII,Db,F,Ab,-
2,CMajor,II,D,F,A,-
3,CMajor,II7,D,F,A,C
4,CMajor,III,E,G,B,-
5,CMajor,IV,F,A,C,-
6,CMajor,V,G,B,D,-
7,CMajor,V7,G,B,D,F
8,CMajor,bVI,Ab,C,Eb,-
9,CMajor,GerVI,Ab,C,Eb,F#
10,CMajor,FreVI,Ab,C,D,F#
11,CMajor,ItaVI,Ab,C,F#,-
12,CMajor,VI,A,C,E,-
13,CMajor,VI7,A,C,E,G
14,CMajor,VII,B,D,F,-
15,CMajor,VII7,B,D,F,A
16,CMajor,DimVII7,B,D,F,Ab
17,GMajor,I,G,B,D,-
18,GMajor,bII,Ab,C,Eb,-
19,GMajor,II,A,C,E,-
20,GMajor,II7,A,C,E,G
21,GMajor,III,B,D,F#,-
22,GMajor,IV,C,E,G,-
23,GMajor,V,D,F#,A,-
24,GMajor,V7,D,F#,A,C
25,GMajor,bVI,Eb,G,Bb,-
26,GMajor,GerVI,Eb,G,Bb,C#
27,GMajor,FreVI,Eb,G,A,C#
28,GMajor,ItaVI,Eb,G,C#,-
29,GMajor,VI,E,G,B,-
30,GMajor,VI7,E,G,B,D
31,GMajor,VII,F#,A,C,-
32,GMajor,VII7,F#,A,C,E
33,GMajor,DimVII7,F#,A,C,Eb
34,DMajor,I,D,F#,A,-
35,DMajor,bII,Eb,G,Bb,-
36,DMajor,II,E,G,B,-
37,DMajor,II7,E,G,B,D
38,DMajor,III,F#,A,C#,-
39,DMajor,IV,G,B,D,-
40,DMajor,V,A,C#,E,-
41,DMajor,V7,A,C#,E,G
42,DMajor,bVI,Bb,D,F,-
43,DMajor,GerVI,Bb,D,F,G#
44,DMajor,FreVI,Bb,D,E,G#
45,DMajor,ItaVI,Bb,D,G#,-
46,DMajor,VI,B,D,F#,-
47,DMajor,VI7,B,D,F#,A
48,DMajor,VII,C#,E,G,-
49,DMajor,VII7,C#,E,G,B
50,DMajor,DimVII7,C#,E,G,Bb
51,AMajor,I,A,C#,E,-
52,AMajor,bII,Bb,D,F,-
53,AMajor,II,B,D,F#,-
